Fecha,Dormirse,Levantarse,Profundo,Ligero,REM,Despierto,Despertadas,Horas de sueño
30/03/2022,12:49:00 a. m.,9:00:00 a. m.,"1,55","5,32","1,31","0,00",0,"8,18"
29/03/2022,1:14:00 a. m.,9:26:00 a. m.,"1,85","4,55","1,55","0,25",1,"7,95"
28/03/2022,12:34:00 a. m.,8:30:00 a. m.,"1,25","4,88","1,80","0,00",0,"7,93"
27/03/2022,4:04:00 a. m.,10:06:00 a. m.,"1,49","3,54","1,00","0,00",0,"6,03"
26/03/2022,2:30:00 a. m.,10:17:00 a. m.,"0,8","5,2","1,78","0,00",0,"7,78"
25/03/2022,2:28:00 a. m.,10:48:00 a. m.,1,"6,2","1,10","0,03",1,"8,33"
24/03/2022,1:13:00 a. m.,10:00:00 a. m.,"1,1","5,2","2,48","0,00",0,"8,78"
23/03/2022,1:08:00 a. m.,9:09:00 a. m.,"1,3","5,5","1,22","0,00",0,"8,02"
22/03/2022,1:05:00 a. m.,8:29:00 a. m.,"1,2","4,8","1,40","0,00",0,"7,40"
21/03/2022,1:17:00 a. m.,8:47:00 a. m.,"1,6","4,9","1,00","0,00",0,"7,50"
20/03/2022,3:34:00 a. m.,11:31:00 a. m.,"1,2","5,9","0,85","0,00",0,"7,95"
19/03/2022,2:30:00 a. m.,10:10:00 a. m.,"1,6","4,4","1,67","0,00",0,"7,67"
18/03/2022,1:57:00 a. m.,9:37:00 a. m.,"1,6","5,2","0,77","0,10",1,"7,67"
17/03/2022,1:33:00 a. m.,8:46:00 a. m.,"0,95","5,15","1,12","0,00",0,"7,22"
16/03/2022,12:30:00 a. m.,8:54:00 a. m.,"1,35",5,"1,72","0,33",2,"8,40"
15/03/2022,12:45:00 a. m.,8:30:00 a. m.,"1,2","5,2","1,40","0,00",0,"7,75"
14/03/2022,12:59:00 a. m.,9:03:00 a. m.,"0,98","5,75","1,34","0,00",0,"8,07"
13/03/2022,2:31:00 a. m.,11:17:00 a. m.,"1,8","5,7","1,27","0,00",0,"8,77"
12/03/2022,3:21:00 a. m.,8:39:00 a. m.,1,"3,55","0,75","0,00",0,"5,30"
11/03/2022,1:34:00 a. m.,9:11:00 a. m.,"1,2","4,9","1,52","0,00",0,"7,62"
10/03/2022,2:01:00 a. m.,9:36:00 a. m.,"1,55","4,9","1,13","0,00",0,"7,58"
09/03/2022,1:47:00 a. m.,9:01:00 a. m.,"1,1","5,3","0,83","0,00",0,"7,23"
08/03/2022,1:30:00 a. m.,7:58:00 a. m.,"1,16",4,"1,31","0,00",0,"6,47"
07/03/2022,1:14:00 a. m.,9:03:00 a. m.,"0,9","5,75","1,17","0,00",0,"7,82"
06/03/2022,6:14:00 a. m.,12:33:00 p. m.,1,3,"1,00","0,05",2,"6,32"
05/03/2022,1:33:00 a. m.,10:12:00 a. m.,"2,3","5,25","1,10","0,00",0,"8,65"
