Fecha,Ligero,Profundo,REM
30/03/2022,"5,32","1,55","1,31"
29/03/2022,"4,55","1,85","1,55"
28/03/2022,"4,88","1,25","1,8"
27/03/2022,"3,54","1,49",1
26/03/2022,"5,2","0,8","1,78"
25/03/2022,"6,2",1,"1,1"
24/03/2022,"5,2","1,1","2,48"
23/03/2022,"5,5","1,3","1,22"
22/03/2022,"4,8","1,2","1,4"
21/03/2022,"4,9","1,6",1
20/03/2022,"5,9","1,2","0,85"
19/03/2022,"4,4","1,6","1,67"
18/03/2022,"5,2","1,6","0,77"
17/03/2022,"5,15","0,95","1,12"
16/03/2022,5,"1,35","1,72"
15/03/2022,"5,2","1,2","1,4"
14/03/2022,"5,75","0,98","1,34"
13/03/2022,"5,7","1,8","1,27"
12/03/2022,"3,55",1,"0,75"
11/03/2022,"4,9","1,2","1,52"
10/03/2022,"4,9","1,55","1,13"
09/03/2022,"5,3","1,1","0,83"
08/03/2022,4,"1,16","1,31"
07/03/2022,"5,75","0,9","1,17"
06/03/2022,3,1,1
05/03/2022,"5,25","2,3","1,1"
04/03/2022,"4,9","1,4","1,45"
03/03/2022,"6,5","1,15","1,13"
02/03/2022,4,"1,3","1,48"
01/03/2022,"5,2","1,5","1,52"
28/02/2022,"4,4","2,1","1,92"
27/02/2022,4,"1,3","1,53"
26/02/2022,"4,7",1,"1,02"
25/02/2022,"4,2","1,3","1,5"
24/02/2022,"4,8","1,55","1,8"
23/02/2022,"5,5","1,1","0,82"
22/02/2022,"5,1","1,15","1,48"
21/02/2022,"5,4","1,9","1,05"
20/02/2022,"3,15","0,95","1,03"
19/02/2022,5,"1,9","1,85"
18/02/2022,"4,5","1,15","1,4"
17/02/2022,"3,5","1,2","1,47"
16/02/2022,"4,9","1,55","1,22"
15/02/2022,"5,2","1,5","1,67"
14/02/2022,"4,4","2,1","2,17"
13/02/2022,"4,9","1,5","1,58"
12/02/2022,"5,5","1,9","1,33"
11/02/2022,"5,7","1,8","1,53"
10/02/2022,"5,3","2,2","1,43"
09/02/2022,"3,8",2,"0,95"
08/02/2022,"5,2","1,5","0,97"
07/02/2022,"5,2","3,8","1,5"
06/02/2022,"3,15","0,95","1,88"
05/02/2022,5,"1,9","1,85"
04/02/2022,"3,4","1,8","1,85"
03/02/2022,"5,3","2,35","1,35"
02/02/2022,"3,8",2,"0,95"
01/02/2022,"4,2","1,35","1,57"
31/01/2022,"4,4","2,1","1,92"
30/01/2022,"3,2","1,3","0,93"
