N° Día,Fecha,Dormirse,Levantarse,Dormirse,Levantarse,Horas de sueño,Ligero,Profundo,REM,Despierto
1,30/03/2022,12:49:00 a. m.,9:00:00 a. m.,49,540,"8,18","5,32","1,55","1,31",0
2,29/03/2022,1:14:00 a. m.,9:26:00 a. m.,74,566,"7,95","4,55","1,85","1,55","0,25"
3,28/03/2022,12:34:00 a. m.,8:30:00 a. m.,34,510,"7,93","4,88","1,25","1,8",0
4,27/03/2022,4:04:00 a. m.,10:06:00 a. m.,244,606,"6,03","3,54","1,49",1,0
5,26/03/2022,2:30:00 a. m.,10:17:00 a. m.,150,617,"7,78","5,2","0,8","1,78",0
6,25/03/2022,2:28:00 a. m.,10:48:00 a. m.,148,648,"8,33","6,2",1,"1,1","0,03"
7,24/03/2022,1:13:00 a. m.,10:00:00 a. m.,73,600,"8,78","5,2","1,1","2,48",0
8,23/03/2022,1:08:00 a. m.,9:09:00 a. m.,68,549,"8,02","5,5","1,3","1,22",0
9,22/03/2022,1:05:00 a. m.,8:29:00 a. m.,65,509,"7,4","4,8","1,2","1,4",0
10,21/03/2022,1:17:00 a. m.,8:47:00 a. m.,77,527,"7,5","4,9","1,6",1,0
11,20/03/2022,3:34:00 a. m.,11:31:00 a. m.,214,691,"7,95","5,9","1,2","0,85",0
12,19/03/2022,2:30:00 a. m.,10:10:00 a. m.,150,610,"7,67","4,4","1,6","1,67",0
13,18/03/2022,1:57:00 a. m.,9:37:00 a. m.,117,577,"7,67","5,2","1,6","0,77","0,1"
14,17/03/2022,1:33:00 a. m.,8:46:00 a. m.,93,526,"7,22","5,15","0,95","1,12",0
15,16/03/2022,12:30:00 a. m.,8:54:00 a. m.,30,534,"8,4",5,"1,35","1,72","0,33"
16,15/03/2022,12:45:00 a. m.,8:30:00 a. m.,45,510,"7,75","5,2","1,2","1,4",0
17,14/03/2022,12:59:00 a. m.,9:03:00 a. m.,59,543,"8,07","5,75","0,98","1,34",0
18,13/03/2022,2:31:00 a. m.,11:17:00 a. m.,151,677,"8,77","5,7","1,8","1,27",0
19,12/03/2022,3:21:00 a. m.,8:39:00 a. m.,201,519,"5,3","3,55",1,"0,75",0
20,11/03/2022,1:34:00 a. m.,9:11:00 a. m.,94,551,"7,62","4,9","1,2","1,52",0
21,10/03/2022,2:01:00 a. m.,9:36:00 a. m.,121,576,"7,58","4,9","1,55","1,13",0
22,09/03/2022,1:47:00 a. m.,9:01:00 a. m.,107,541,"7,23","5,3","1,1","0,83",0
23,08/03/2022,1:30:00 a. m.,7:58:00 a. m.,90,478,"6,47",4,"1,16","1,31",0
24,07/03/2022,1:14:00 a. m.,9:03:00 a. m.,74,543,"7,82","5,75","0,9","1,17",0
25,06/03/2022,6:14:00 a. m.,12:33:00 p. m.,374,753,"6,32",3,1,1,"0,05"
26,05/03/2022,1:33:00 a. m.,10:12:00 a. m.,93,612,"8,65","5,25","2,3","1,1",0
27,04/03/2022,1:53:00 a. m.,9:38:00 a. m.,113,578,"7,75","4,9","1,4","1,45",0
28,03/03/2022,12:46:00 a. m.,9:33:00 a. m.,46,573,"8,78","6,5","1,15","1,13",0
29,02/03/2022,2:46:00 a. m.,9:36:00 a. m.,166,576,"6,83",4,"1,3","1,48","0,05"
30,01/03/2022,2:31:00 a. m.,10:44:00 a. m.,151,644,"8,22","5,2","1,5","1,52",0
31,28/02/2022,1:40:00 a. m.,10:05:00 a. m.,100,605,"8,42","4,4","2,1","1,92",0
32,27/02/2022,5:11:00 a. m.,12:17:00 p. m.,311,737,"7,1",4,"1,3","1,53","0,27"
33,26/02/2022,4:43:00 a. m.,11:26:00 a. m.,283,686,"6,72","4,7",1,"1,02",0
34,25/02/2022,1:46:00 a. m.,9:36:00 a. m.,106,576,"7,83","4,2","1,3","1,5","0,83"
35,24/02/2022,1:34:00 a. m.,9:43:00 a. m.,94,583,"8,15","4,8","1,55","1,8",0
36,23/02/2022,1:38:00 a. m.,9:03:00 a. m.,98,543,"7,42","5,5","1,1","0,82",0
37,22/02/2022,1:47:00 a. m.,9:31:00 a. m.,107,571,"7,73","5,1","1,15","1,48",0
38,21/02/2022,1:11:00 a. m.,9:33:00 a. m.,71,573,"8,37","5,4","1,9","1,05","0,02"
39,20/02/2022,6:22:00 a. m.,11:30:00 a. m.,382,690,"5,13","3,15","0,95","1,03",0
40,19/02/2022,1:20:00 a. m.,10:05:00 a. m.,80,605,"8,75",5,"1,9","1,85",0
41,18/02/2022,2:52:00 a. m.,9:55:00 a. m.,172,595,"7,05","4,5","1,15","1,4",0
42,17/02/2022,2:23:00 a. m.,8:33:00 a. m.,143,513,"6,17","3,5","1,2","1,47",0
43,16/02/2022,1:49:00 a. m.,9:29:00 a. m.,109,569,"7,67","4,9","1,55","1,22",0
44,15/02/2022,1:58:00 a. m.,10:20:00 a. m.,118,620,"8,37","5,2","1,5","1,67",0
45,14/02/2022,2:22:00 a. m.,11:02:00 a. m.,142,662,"8,67","4,4","2,1","2,17",0
46,13/02/2022,4:22:00 a. m.,12:21:00 p. m.,262,741,"7,98","4,9","1,5","1,58",0
47,12/02/2022,1:03:00 a. m.,10:05:00 a. m.,63,605,"9,03","5,5","1,9","1,33","0,3"
48,11/02/2022,2:31:00 a. m.,11:33:00 a. m.,151,693,"9,03","5,7","1,8","1,53",0
49,10/02/2022,12:49:00 a. m.,9:45:00 a. m.,49,585,"8,93","5,3","2,2","1,43",0
50,09/02/2022,4:40:00 a. m.,11:30:00 a. m.,280,690,"6,83","3,8",2,"0,95","0,08"
51,08/02/2022,2:31:00 a. m.,10:11:00 a. m.,151,611,"7,67","5,2","1,5","0,97",0
52,07/02/2022,1:40:00 a. m.,12:10:00 p. m.,100,730,"10,5","5,2","3,8","1,5",0
53,06/02/2022,7:22:00 a. m.,1:21:00 p. m.,442,801,"5,98","3,15","0,95","1,88",0
54,05/02/2022,1:20:00 a. m.,10:05:00 a. m.,80,605,"8,75",5,"1,9","1,85",0
55,04/02/2022,4:30:00 a. m.,11:33:00 a. m.,270,693,"7,05","3,4","1,8","1,85",0
56,03/02/2022,1:30:00 a. m.,10:30:00 a. m.,90,630,9,"5,3","2,35","1,35",0
57,02/02/2022,4:40:00 a. m.,11:30:00 a. m.,280,690,"6,83","3,8",2,"0,95","0,08"
58,01/02/2022,2:16:00 a. m.,9:23:00 a. m.,136,563,"7,12","4,2","1,35","1,57",0
59,31/01/2022,1:40:00 a. m.,10:05:00 a. m.,100,605,"8,42","4,4","2,1","1,92",0
60,30/01/2022,6:45:00 a. m.,12:17:00 p. m.,405,737,"5,53","3,2","1,3","0,93","0,1"
