Fecha,Dormirse,Levantarse,Profundo,Ligero,REM,Despierto,Despertadas,Horas de sueño
30/03/2022,49,540,"1,55","5,32","1,31",0,0,"8,18"
29/03/2022,74,566,"1,85","4,55","1,55","0,25",1,"7,95"
28/03/2022,34,510,"1,25","4,88","1,8",0,0,"7,93"
27/03/2022,244,606,"1,49","3,54",1,0,0,"6,03"
26/03/2022,150,617,"0,8","5,2","1,78",0,0,"7,78"
25/03/2022,148,648,1,"6,2","1,1","0,03",1,"8,33"
24/03/2022,73,600,"1,1","5,2","2,48",0,0,"8,78"
23/03/2022,68,549,"1,3","5,5","1,22",0,0,"8,02"
22/03/2022,65,509,"1,2","4,8","1,4",0,0,"7,4"
21/03/2022,77,527,"1,6","4,9",1,0,0,"7,5"
20/03/2022,214,691,"1,2","5,9","0,85",0,0,"7,95"
19/03/2022,150,610,"1,6","4,4","1,67",0,0,"7,67"
18/03/2022,117,577,"1,6","5,2","0,77","0,1",1,"7,67"
17/03/2022,93,526,"0,95","5,15","1,12",0,0,"7,22"
16/03/2022,30,534,"1,35",5,"1,72","0,33",2,"8,4"
15/03/2022,45,510,"1,2","5,2","1,4",0,0,"7,75"
14/03/2022,59,543,"0,98","5,75","1,34",0,0,"8,07"
13/03/2022,151,677,"1,8","5,7","1,27",0,0,"8,77"
12/03/2022,201,519,1,"3,55","0,75",0,0,"5,3"
11/03/2022,94,551,"1,2","4,9","1,52",0,0,"7,62"
10/03/2022,121,576,"1,55","4,9","1,13",0,0,"7,58"
09/03/2022,107,541,"1,1","5,3","0,83",0,0,"7,23"
08/03/2022,90,478,"1,16",4,"1,31",0,0,"6,47"
07/03/2022,74,543,"0,9","5,75","1,17",0,0,"7,82"
06/03/2022,374,753,1,3,1,"0,05",2,"6,32"
05/03/2022,93,612,"2,3","5,25","1,1",0,0,"8,65"
04/03/2022,113,578,"1,4","4,9","1,45",0,0,"7,75"
03/03/2022,46,573,"1,15","6,5","1,13",0,0,"8,78"
02/03/2022,166,576,"1,3",4,"1,48","0,05",2,"6,83"
01/03/2022,151,644,"1,5","5,2","1,52",0,0,"8,22"
28/02/2022,100,605,"2,1","4,4","1,92",0,0,"8,42"
27/02/2022,311,737,"1,3",4,"1,53","0,27",1,"7,1"
26/02/2022,283,686,1,"4,7","1,02",0,0,"6,72"
25/02/2022,106,576,"1,3","4,2","1,5","0,83",2,"7,83"
24/02/2022,94,583,"1,55","4,8","1,8",0,0,"8,15"
23/02/2022,98,543,"1,1","5,5","0,82",0,0,"7,42"
22/02/2022,107,571,"1,15","5,1","1,48",0,0,"7,73"
21/02/2022,71,573,"1,9","5,4","1,05","0,02",0,"8,37"
20/02/2022,382,690,"0,95","3,15","1,03",0,0,"5,13"
19/02/2022,80,605,"1,9",5,"1,85",0,0,"8,75"
18/02/2022,172,595,"1,15","4,5","1,4",0,0,"7,05"
17/02/2022,143,513,"1,2","3,5","1,47",0,0,"6,17"
16/02/2022,109,569,"1,55","4,9","1,22",0,0,"7,67"
15/02/2022,118,620,"1,5","5,2","1,67",0,0,"8,37"
14/02/2022,142,662,"2,1","4,4","2,17",0,0,"8,67"
13/02/2022,262,741,"1,5","4,9","1,58",0,0,"7,98"
12/02/2022,63,605,"1,9","5,5","1,33","0,3",2,"9,03"
11/02/2022,151,693,"1,8","5,7","1,53",0,0,"9,03"
10/02/2022,49,585,"2,2","5,3","1,43",0,0,"8,93"
09/02/2022,280,690,2,"3,8","0,95","0,08",1,"6,83"
08/02/2022,151,611,"1,5","5,2","0,97",0,0,"7,67"
07/02/2022,100,730,"3,8","5,2","1,5",0,0,"10,5"
06/02/2022,442,801,"0,95","3,15","1,88",0,0,"5,98"
05/02/2022,80,605,"1,9",5,"1,85",0,0,"8,75"
04/02/2022,270,693,"1,8","3,4","1,85",0,0,"7,05"
03/02/2022,90,630,"2,35","5,3","1,35",0,0,9
02/02/2022,280,690,2,"3,8","0,95","0,08",1,"6,83"
01/02/2022,136,563,"1,35","4,2","1,57",0,0,"7,12"
31/01/2022,100,605,"2,1","4,4","1,92",0,0,"8,42"
30/01/2022,405,737,"1,3","3,2","0,93","0,1",1,"5,53"
